feature,importance,importance_std,importance_type,model
turbidity_ntu_rt_lag_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_lag_15min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_lag_60min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_120min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_120min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_120min_median__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_delta_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_delta_15min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_delta_30min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_pct_change_30min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_delta_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_30min_slope__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_30min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_30min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_30min_median__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_60min_mean__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_60min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_60min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_120min_std__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_120min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_120min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_120min_median__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_30min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_60min_std__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_120min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_delta_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_delta_15min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_30min_slope__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_lag_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_lag_30min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_lag_120min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_15min_mean__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_15min_std__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_15min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_15min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_30min_mean__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_30min_std__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_lag_15min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_30min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_30min_median__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_30min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_60min_mean__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_60min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_60min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_120min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_120min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_120min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_delta_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_delta_15min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_30min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_60min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_delta_30min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_30min_slope__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_60min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_120min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_120min_median__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_120min_range__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_delta_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_delta_15min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_pct_change_30min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_rolling_15min_mean__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_lag_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_rolling_15min_min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_pct_change_30min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_30min_slope__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_lag_5min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_rolling_15min_median__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_rolling_30min_std__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_rolling_30min_max__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
